48	2
0	3931000
-1	3688025
-2	3445050
-3	3336093.49168455
-4	3225992.45488999
-5	3133491.10992688
-6	3029720
-7	2912240.9974118
-8	2788136
-9	2682466
-10	2562766.73961379
-11	2425504.80832697
-12	2296549.77571127
-13	2173240.74119005
-14	2055132.83319856
-15	1941797.67301163
-16	1830879.88498859
-17	1713120.43937619
-18	1577340.91645932
-19	1464350.40780455
-20	1359410.08456236
-21	1262715.1656385
-22	1171462.74877701
-23	1092203.4760112
-24	1011499.15303354
-25	917001.410216005
-26	825064.138382196
-27	745660
-28	648220
-29	580502.631038946
-30	526747.012288974
-31	474637.360442348
-32	408185.554025072
-33	335719.629980555
-34	279954.860093524
-35	222861.935324893
-36	179055.304069602
-37	158330.820412876
-38	138889.956657187
-39	123335.532771245
-40	107797.10054161
-41	90896.3001817571
-42	74949.2566386898
-43	57922.9616420254
-44	29175.8333960423
-45	9158.89275396832
-46	981.45040059938
-46.8	4.51364700905673
